"id","text","en_text"
"1380157566483890185","[ 🇦🇺 AUSTRALIE ]

🔸 Le cyclone Seroja qui a endeuillé l’Indonésie se situe à présent au large des côtes et pourrait entrer en interaction avec un autre système cyclonique (23U). Une intensification de Seroja est possible avec un risque d’atterrissage sur l’Australie occidentale. https://t.co/Xj8kZHeyCG https://t.co/NJqok58Ju7","[ 🇦🇺 AUSTRALIA ]

🔸 Cyclone Seroja, which has mourned Indonesia, is now located off the coast and could interact with another hurricane system (23U). An intensification of Seroja is possible with a risk of landing on Western Australia. https://t.co/Xj8kZHeyCG https://t.co/NJqok58Ju7"
"1380152677569552392","Indonésie : Les fortes pluies provoquées par le cyclone Seroja ont fait plus de 140 morts et des dizaines de disparus, alors que l'aide humanitaire commence à être acheminée par bateau.
Au moins 37 personnes sont également décédées au Timor Oriental.

(@AFP / vidéo @Elin9111) https://t.co/OSgOch04P6","Indonesia: Heavy rains caused by Cyclone Seroja have left more than 140 dead and dozens missing, as humanitarian aid begins to arrive by boat.
At least 37 people have also died in East Timor.

(@AFP / video @Elin9111) https://t.co/OSgOch04P6"
"1380150093462917121","@wiena_kinasih @seroja_merah ah...prens...","@wiena_kinasih @seroja_merah ah...prens..."
"1381574622164873217","Absolute devastation

https://t.co/eanEePAwsJ","Absolute devastation

https://t.co/eanEePAwsJ"
"1381571935885221888","L'ouest de l'Australie balayé par le cyclone Seroja | JDM https://t.co/EyQuHCsSA5","Western Australia hit by Cyclone Seroja | JDM https://t.co/EyQuHCsSA5"
"1380543779401310216","Alors que le cyclone tropical #Seroja vient de ravager le sud de l’Indonésie, le Prince Albert a récemment adressé ses condoléances au président #Monaco https://t.co/uP8T845on4","As tropical cyclone #Seroja has just ravaged southern Indonesia, Prince Albert recently sent his condolences to President #Monaco https://t.co/uP8T845on4"
"1379001195503747074","Extrêmes et alertes dans le monde via catnatnet : Inondations provoquées par la tempête tropicale Seroja dans l'Est de l'Indonésie et au Timor Leste https://t.co/XyV7fNYLal","Global extremes and alerts via catnatnet: Flooding from Tropical Storm Seroja in eastern Indonesia and Timor Leste https://t.co/XyV7fNYLal"
"1379001192370540546","Extrêmes et alertes dans le monde via catnatnet : Le cyclone Seroja cause des inondations massives dans le Sud-Est de l'Indonésie et au Timor-Leste https://t.co/OBxiAxB8W2","Worldwide extremes and alerts via catnatnet: Cyclone Seroja causes massive flooding in Southeast Indonesia and Timor-Leste https://t.co/OBxiAxB8W2"
"1381734914509438983","RT @VoyageGdC: MISE À JOUR: Le cyclone #Seroja a provoqué des dégâts structurels dans plusieurs localités et a perturbé l’approvisionnement…","RT @VoyageGdC: UPDATE: Cyclone #Seroja caused structural damage in several localities and disrupted supply…"
"1381733991032754181","MISE À JOUR: Le cyclone #Seroja a provoqué des dégâts structurels dans plusieurs localités et a perturbé l’approvisionnement en électricité.

Si vous êtes dans une région touchée, suivez les directives des autorités locales. https://t.co/JOUxSfAcYN","UPDATE: Cyclone #Seroja caused structural damage in several localities and disrupted electricity supply.

If you are in an affected area, follow the guidelines of local authorities. https://t.co/JOUxSfAcYN"
"1379338102079111174","Cyclone Seroja : plus de 150 morts en Indonésie et au Timor oriental https://t.co/sfLmF2ju1I","Cyclone Seroja: more than 150 dead in Indonesia and East Timor https://t.co/sfLmF2ju1I"
"1379335566374801408","Le bilan du cyclone Seroja qui a frappé l’Indonésie et le Timor oriental n’en finit pas de s’alourdir, avec des pluies torrentielles qui ont provoqué de nombreux glissements de terrain.
https://t.co/RDcEtMuxqL","The toll of cyclone Seroja which hit Indonesia and East Timor continues to grow, with torrential rains which caused numerous landslides.
https://t.co/RDcEtMuxqL"
"1379331514505256960","#Innondation &gt;
🔴Au moins 157 personnes ont péries et des dizaines d'autres sont toujours portées disparues dans les innondations et les glissements de terrain générés par le cyclone tropical Seroja en Indonésie et au Timor oriental, selon le bilan des autorités. https://t.co/EkShGNgXiP","#Flood >
🔴 At least 157 people have died and dozens more are still missing in the floods and landslides generated by Tropical Cyclone Seroja in Indonesia and East Timor, according to the authorities' report. https://t.co/EkShGNgXiP"
